T (K),U1,U2,U3,F1,F2,F3,S1,S2,S3
1261.6161616161617,0.0,4.13343040196686e-21,8.308566765815108e-21,-4.596839613113026e-20,-3.2893481725786866e-20,-3.5039415634688463e-20,3.6436118630759776e-23,2.93487934399329e-23,3.435908933266496e-23
1278.787878787879,0.0,4.265052511491626e-21,8.377115291904349e-21,-4.65940668550928e-20,-3.339834245653307e-20,-3.5629886478036286e-20,3.643611863075977e-23,2.9452417865990874e-23,3.4413058256114714e-23
1295.959595959596,0.0,4.396777072158093e-21,8.44403425071705e-21,-4.721973757905535e-20,-3.3904971448339724e-20,-3.622126687604587e-20,3.6436118630759776e-23,2.95547397001503e-23,3.446504139945073e-23
1313.1313131313132,0.0,4.528529470880116e-21,8.509374983842149e-21,-4.784540830301788e-20,-3.441334613121449e-20,-3.681352352353805e-20,3.643611863075977e-23,2.965573603544128e-23,3.451513040177415e-23
1330.3030303030305,0.0,4.660238885928793e-21,8.5731870355452e-21,-4.8471079026980434e-20,-3.492344357449519e-20,-3.7406624646158436e-20,3.6436118630759776e-23,2.9755387726514606e-23,3.456341197030113e-23
1347.4747474747476,0.0,4.791838192885916e-21,8.635518205321638e-21,-4.909674975094297e-20,-3.54352405491657e-20,-3.8000539918224275e-20,3.643611863075977e-23,2.985367912641012e-23,3.460996817264651e-23
1364.6464646464647,0.0,4.9232638645866175e-21,8.696414601286912e-21,-4.9722420474905513e-20,-3.594871358575682e-20,-3.859524038543534e-20,3.6436118630759776e-23,2.9950597835558844e-23,3.465487671121764e-23
1381.818181818182,0.0,5.054455866312306e-21,8.755920693940141e-21,-5.034809119886805e-20,-3.6463839028042013e-20,-3.919069839215016e-20,3.643611863075977e-23,3.004613446301957e-23,3.4698211180723243e-23
1398.989898989899,0.0,5.185357547360122e-21,8.814079369915853e-21,-5.09737619228306e-20,-3.698059308273774e-20,-3.9786887512946256e-20,3.6436118630759776e-23,3.014028239985334e-23,3.474004130977147e-23
1416.1616161616162,0.0,5.3159155299903276e-21,8.870931985404954e-21,-5.159943264679313e-20,-3.749895186541511e-20,-4.0383782488199045e-20,3.643611863075977e-23,3.0233037604458906e-23,3.4780433187494974e-23
1433.3333333333335,0.0,5.446079596638269e-21,8.926518418983238e-21,-5.2225103370755684e-20,-3.801889144282656e-20,-4.0981359163430313e-20,3.6436118630759776e-23,3.0324398399626624e-23,3.481944947610247e-23
1450.5050505050506,0.0,5.57580257617221e-21,8.980877123634713e-21,-5.285077409471822e-20,-3.854038787184587e-20,-4.157959443219174e-20,3.643611863075977e-23,3.0414365281015253e-23,3.485714961021461e-23
1467.6767676767677,0.0,5.7050402298820146e-21,9.034045177798649e-21,-5.347644481868076e-20,-3.906341723521534e-20,-4.217846618226394e-20,3.6436118630759776e-23,3.0502940736714645e-23,3.4893589983800386e-23
1484.848484848485,0.0,5.8337511377958144e-21,9.086058335304956e-21,-5.4102115542643303e-20,-3.958795567428692e-20,-4.277795324496453e-20,3.643611863075977e-23,3.0590129077525103e-23,3.4928824125487615e-23
1502.020202020202,0.0,5.9618965858420404e-21,9.136951074092706e-21,-5.472778626660584e-20,-4.0113979418938293e-20,-4.3378035347372e-20,3.6436118630759776e-23,3.0675936277560543e-23,3.496290286297919e-23
1519.1919191919194,0.0,6.089440454301929e-21,9.18675664363233e-21,-5.535345699056839e-20,-4.064146481483748e-20,-4.3978693067284387e-20,3.643611863075977e-23,3.0760369824765966e-23,3.499587447726565e-23
1536.3636363636365,0.0,6.216349107932304e-21,9.235507110993781e-21,-5.597912771453093e-20,-4.11703883482227e-20,-4.457990779074312e-20,3.6436118630759776e-23,3.084343858092929e-23,3.502778484728437e-23
1553.5353535353536,0.0,6.3425912880796205e-21,9.283233405521259e-21,-5.660479843849347e-20,-4.17007266683569e-20,-4.518166167196325e-20,3.6436118630759776e-23,3.092515265076213e-23,3.505867758563697e-23
1570.707070707071,0.0,6.468138007053565e-21,9.329965362090458e-21,-5.723046916245601e-20,-4.223245660780901e-20,-4.5783937595521566e-20,3.643611863075977e-23,3.100552325962311e-23,3.5088594165939483e-23
1587.878787878788,0.0,6.5929624449811314e-21,9.37573176293726e-21,-5.785613988641855e-20,-4.276555520070655e-20,-4.6386719140663546e-20,3.643611863075977e-23,3.1084562639459797e-23,3.5117574042344014e-23
1605.050505050505,0.0,6.717039849320126e-21,9.420560378057529e-21,-5.848181061038109e-20,-4.32999996990974e-20,-4.698999054759919e-20,3.6436118630759776e-23,3.116228392255088e-23,3.514565476173704e-23
1622.2222222222224,0.0,6.840347437173382e-21,9.464478004186389e-21,-5.910748133434364e-20,-4.383576758755082e-20,-4.7593736685665926e-20,3.6436118630759776e-23,3.1238701042638203e-23,3.517287206908704e-23
1639.3939393939395,0.0,6.96286430051196e-21,9.507510502372818e-21,-5.973315205830617e-20,-4.437283659612139e-20,-4.8197943023244964e-20,3.643611863075977e-23,3.131382864304807e-23,3.5199260006384226e-23
